SRR	Sample
SRR413556	controls
SRR413557	controls
SRR413558	controls
SRR413559	controls
SRR413560	controls
SRR413561	controls
SRR413562	controls
SRR413563	controls
SRR413564	controls
SRR413565	controls
SRR413566	controls
SRR413567	controls
SRR413568	controls
SRR413569	controls
SRR413570	controls
SRR413571	controls
SRR413572	controls
SRR413573	controls
SRR413574	controls
SRR413575	controls
SRR413576	controls
SRR413577	controls
SRR413578	controls
SRR413579	controls
SRR413580	controls
SRR413581	controls
SRR413582	controls
SRR413583	controls
SRR413584	controls
SRR413585	controls
SRR413586	controls
SRR413587	controls
SRR413588	controls
SRR413589	controls
SRR413590	controls
SRR413591	controls
SRR413592	controls
SRR413593	controls
SRR413594	controls
SRR413595	controls
SRR413596	controls
SRR413597	controls
SRR413598	controls
SRR413599	controls
SRR413600	controls
SRR413601	controls
SRR413602	controls
SRR413603	controls
SRR413604	controls
SRR413605	controls
SRR413606	controls
SRR413607	controls
SRR413608	controls
SRR413609	controls
SRR413610	controls
SRR413611	controls
SRR413612	controls
SRR413613	controls
SRR413614	controls
SRR413615	controls
SRR413616	controls
SRR413617	controls
SRR413618	controls
SRR413619	controls
SRR413620	controls
SRR413621	controls
SRR413622	controls
SRR413623	controls
SRR413624	controls
SRR413625	controls
SRR413626	controls
SRR413627	controls
SRR413628	controls
SRR413629	controls
SRR413630	controls
SRR413631	controls
SRR413632	controls
SRR413633	controls
SRR413634	controls
SRR413635	controls
SRR413636	controls
SRR413637	controls
SRR413638	controls
SRR413639	controls
SRR413640	controls
SRR413641	controls
SRR413642	controls
SRR413643	controls
SRR413644	controls
SRR413645	controls
SRR413646	controls
SRR413647	controls
SRR413648	controls
SRR413649	controls
SRR413650	controls
SRR413651	controls
SRR413652	controls
SRR413653	controls
SRR413654	controls
SRR413655	controls
SRR413656	controls
SRR413657	controls
SRR413658	controls
SRR413659	controls
SRR413660	controls
SRR413661	controls
SRR413662	controls
SRR413663	controls
SRR413664	controls
SRR413665	controls
SRR413666	controls
SRR413667	controls
SRR413668	controls
SRR413669	controls
SRR413670	controls
SRR413671	controls
SRR413672	controls
SRR413673	T2D
SRR413674	T2D
SRR413675	T2D
SRR413676	T2D
SRR413677	T2D
SRR413678	T2D
SRR413679	T2D
SRR413680	T2D
SRR413681	T2D
SRR413682	T2D
SRR413683	T2D
SRR413684	T2D
SRR413685	T2D
SRR413686	T2D
SRR413687	T2D
SRR413688	T2D
SRR413689	T2D
SRR413690	T2D
SRR413691	T2D
SRR413692	T2D
SRR413693	T2D
SRR413694	T2D
SRR413695	T2D
SRR413696	T2D
SRR413697	T2D
SRR413698	T2D
SRR413699	T2D
SRR413700	T2D
SRR413701	T2D
SRR413702	T2D
SRR413703	T2D
SRR413704	T2D
SRR413705	T2D
SRR413706	T2D
SRR413707	T2D
SRR413708	T2D
SRR413709	T2D
SRR413710	T2D
SRR413711	T2D
SRR413712	T2D
SRR413713	T2D
SRR413714	T2D
SRR413715	T2D
SRR413716	T2D
SRR413717	T2D
SRR413718	T2D
SRR413719	T2D
SRR413720	T2D
SRR413721	T2D
SRR413722	T2D
SRR413723	T2D
SRR413724	T2D
SRR413725	T2D
SRR413726	T2D
SRR413727	T2D
SRR413728	T2D
SRR413729	T2D
SRR413730	T2D
SRR413731	T2D
SRR413732	T2D
SRR413733	T2D
SRR413734	T2D
SRR413735	T2D
SRR413736	T2D
SRR413737	T2D
SRR413738	T2D
SRR413739	T2D
SRR413740	T2D
SRR413741	T2D
SRR413742	T2D
SRR413743	T2D
SRR413744	T2D
SRR413745	T2D
SRR413746	T2D
SRR413747	T2D
SRR413748	T2D
SRR413749	T2D
SRR413750	T2D
SRR413751	T2D
SRR413752	T2D
SRR413753	T2D
SRR413754	T2D
SRR413755	T2D
SRR413756	T2D
